=== Energy Consumption Metrics ===

Total Duration: 16510.77 seconds
Average CPU Power: 0.70 Watts
Average RAM Power: 3.17 Watts
Average GPU Power: 54.20 Watts
Total Energy Consumption: 0.9587 Mega Joules

=== Detailed Measurements ===
Round global, start: 24.50W (CPU: 4.05W, RAM: 1.96W, GPU: 18.49W)
Round 5, node_2_smpc_complete: 23.04W (CPU: 0.09W, RAM: 2.89W, GPU: 20.06W)
Round 5, node_3_training_start: 22.82W (CPU: 0.00W, RAM: 2.89W, GPU: 19.94W)
Round 5, node_3_training_complete: 115.93W (CPU: 2.01W, RAM: 2.95W, GPU: 110.97W)
Round 5, node_3_smpc_start: 113.92W (CPU: 0.00W, RAM: 2.95W, GPU: 110.97W)
Round 5, node_3_smpc_complete: 23.06W (CPU: 0.09W, RAM: 2.91W, GPU: 20.06W)
Round 5, aggregation_start: 22.78W (CPU: 0.00W, RAM: 2.91W, GPU: 19.88W)
Round 5, aggregation_complete: 26.69W (CPU: 1.50W, RAM: 2.90W, GPU: 22.28W)
Round 6, cluster_generation_start: 22.87W (CPU: 0.03W, RAM: 2.91W, GPU: 19.93W)
Round 6, cluster_generation_complete: 22.84W (CPU: 0.00W, RAM: 2.91W, GPU: 19.93W)
Round 6, node_1_training_start: 22.84W (CPU: 0.00W, RAM: 2.91W, GPU: 19.93W)
Round 6, node_1_training_complete: 112.80W (CPU: 1.98W, RAM: 2.98W, GPU: 107.84W)
Round 6, node_1_smpc_start: 110.82W (CPU: 0.00W, RAM: 2.98W, GPU: 107.84W)
Round 6, node_1_smpc_complete: 22.85W (CPU: 0.09W, RAM: 2.92W, GPU: 19.84W)
Round 6, node_2_training_start: 22.93W (CPU: 0.00W, RAM: 2.92W, GPU: 20.00W)
Round 6, node_2_training_complete: 111.35W (CPU: 1.95W, RAM: 2.97W, GPU: 106.43W)
Round 6, node_2_smpc_start: 109.40W (CPU: 0.00W, RAM: 2.97W, GPU: 106.43W)
Round 6, node_2_smpc_complete: 23.04W (CPU: 0.09W, RAM: 2.93W, GPU: 20.03W)
Round 6, node_3_training_start: 22.62W (CPU: 0.00W, RAM: 2.93W, GPU: 19.69W)
Round 6, node_3_training_complete: 113.71W (CPU: 1.95W, RAM: 2.96W, GPU: 108.81W)
