=== Energy Consumption Metrics ===

Total Duration: 33140.42 seconds
Average CPU Power: 0.91 Watts
Average RAM Power: 2.79 Watts
Average GPU Power: 51.43 Watts
Total Energy Consumption: 1.8269 Mega Joules

=== Detailed Measurements ===
Round global, start: 25.81W (CPU: 4.11W, RAM: 0.40W, GPU: 21.30W)
Round 15, node_3_training_complete: 80.10W (CPU: 1.89W, RAM: 2.61W, GPU: 75.60W)
Round 15, node_3_smpc_start: 78.21W (CPU: 0.00W, RAM: 2.61W, GPU: 75.60W)
Round 15, node_3_smpc_complete: 24.65W (CPU: 0.09W, RAM: 2.60W, GPU: 21.96W)
Round 15, aggregation_start: 24.00W (CPU: 0.00W, RAM: 2.60W, GPU: 21.40W)
Round 15, aggregation_complete: 27.43W (CPU: 1.74W, RAM: 2.60W, GPU: 23.09W)
Round 16, cluster_generation_start: 24.30W (CPU: 0.03W, RAM: 2.59W, GPU: 21.68W)
Round 16, cluster_generation_complete: 24.27W (CPU: 0.00W, RAM: 2.59W, GPU: 21.68W)
Round 16, node_1_training_start: 24.27W (CPU: 0.00W, RAM: 2.59W, GPU: 21.68W)
Round 16, node_1_training_complete: 80.07W (CPU: 1.98W, RAM: 2.61W, GPU: 75.48W)
Round 16, node_1_smpc_start: 78.09W (CPU: 0.00W, RAM: 2.61W, GPU: 75.48W)
Round 16, node_1_smpc_complete: 23.95W (CPU: 0.09W, RAM: 2.59W, GPU: 21.27W)
Round 16, node_2_training_start: 23.93W (CPU: 0.00W, RAM: 2.59W, GPU: 21.34W)
Round 16, node_2_training_complete: 85.22W (CPU: 1.92W, RAM: 2.59W, GPU: 80.70W)
Round 16, node_2_smpc_start: 83.30W (CPU: 0.00W, RAM: 2.59W, GPU: 80.70W)
Round 16, node_2_smpc_complete: 24.40W (CPU: 0.09W, RAM: 2.61W, GPU: 21.70W)
Round 16, node_3_training_start: 23.98W (CPU: 0.00W, RAM: 2.60W, GPU: 21.38W)
Round 16, node_3_training_complete: 78.18W (CPU: 1.92W, RAM: 2.61W, GPU: 73.65W)
Round 16, node_3_smpc_start: 76.26W (CPU: 0.00W, RAM: 2.61W, GPU: 73.65W)
Round 16, node_3_smpc_complete: 23.73W (CPU: 0.09W, RAM: 2.59W, GPU: 21.05W)
Round 16, aggregation_start: 23.74W (CPU: 0.00W, RAM: 2.59W, GPU: 21.15W)
