=== Energy Consumption Metrics ===

Total Duration: 33156.15 seconds
Average CPU Power: 1.01 Watts
Average RAM Power: 2.72 Watts
Average GPU Power: 51.85 Watts
Total Energy Consumption: 1.8428 Mega Joules

=== Detailed Measurements ===
Round global, start: 24.34W (CPU: 4.11W, RAM: 0.39W, GPU: 19.84W)
Round 6, node_3_training_complete: 77.81W (CPU: 1.89W, RAM: 2.25W, GPU: 73.66W)
Round 6, node_3_smpc_start: 75.92W (CPU: 0.00W, RAM: 2.25W, GPU: 73.66W)
Round 6, node_3_smpc_complete: 22.98W (CPU: 0.09W, RAM: 2.24W, GPU: 20.65W)
Round 6, aggregation_start: 22.93W (CPU: 0.00W, RAM: 2.24W, GPU: 20.69W)
Round 6, aggregation_complete: 25.18W (CPU: 1.95W, RAM: 2.24W, GPU: 20.99W)
Round 7, cluster_generation_start: 24.56W (CPU: 0.03W, RAM: 2.26W, GPU: 22.27W)
Round 7, cluster_generation_complete: 24.53W (CPU: 0.00W, RAM: 2.26W, GPU: 22.27W)
Round 7, node_1_training_start: 24.53W (CPU: 0.00W, RAM: 2.26W, GPU: 22.27W)
Round 7, node_1_training_complete: 78.06W (CPU: 1.98W, RAM: 2.26W, GPU: 73.82W)
Round 7, node_1_smpc_start: 76.08W (CPU: 0.00W, RAM: 2.26W, GPU: 73.82W)
Round 7, node_1_smpc_complete: 23.26W (CPU: 0.09W, RAM: 2.24W, GPU: 20.93W)
Round 7, node_2_training_start: 22.89W (CPU: 0.00W, RAM: 2.24W, GPU: 20.65W)
Round 7, node_2_training_complete: 74.08W (CPU: 1.89W, RAM: 2.27W, GPU: 69.92W)
Round 7, node_2_smpc_start: 72.19W (CPU: 0.00W, RAM: 2.27W, GPU: 69.92W)
Round 7, node_2_smpc_complete: 23.66W (CPU: 0.09W, RAM: 2.26W, GPU: 21.30W)
Round 7, node_3_training_start: 23.13W (CPU: 0.00W, RAM: 2.26W, GPU: 20.87W)
Round 7, node_3_training_complete: 78.95W (CPU: 1.89W, RAM: 2.29W, GPU: 74.78W)
Round 7, node_3_smpc_start: 77.06W (CPU: 0.00W, RAM: 2.29W, GPU: 74.78W)
Round 7, node_3_smpc_complete: 23.64W (CPU: 0.09W, RAM: 2.29W, GPU: 21.27W)
Round 7, aggregation_start: 23.57W (CPU: 0.00W, RAM: 2.29W, GPU: 21.28W)
Round 7, aggregation_complete: 25.53W (CPU: 1.74W, RAM: 2.29W, GPU: 21.50W)
Round 8, cluster_generation_start: 23.59W (CPU: 0.03W, RAM: 2.29W, GPU: 21.27W)
Round 8, cluster_generation_complete: 23.56W (CPU: 0.00W, RAM: 2.29W, GPU: 21.27W)
Round 8, node_1_training_start: 38.56W (CPU: 15.00W, RAM: 2.29W, GPU: 21.27W)
Round 8, node_1_training_complete: 79.13W (CPU: 1.98W, RAM: 2.32W, GPU: 74.83W)
Round 8, node_1_smpc_start: 77.15W (CPU: 0.00W, RAM: 2.32W, GPU: 74.83W)
Round 8, node_1_smpc_complete: 23.29W (CPU: 0.09W, RAM: 2.32W, GPU: 20.88W)
Round 8, node_2_training_start: 23.42W (CPU: 0.00W, RAM: 2.32W, GPU: 21.10W)
Round 8, node_2_training_complete: 78.81W (CPU: 1.89W, RAM: 2.34W, GPU: 74.58W)
Round 8, node_2_smpc_start: 76.92W (CPU: 0.00W, RAM: 2.34W, GPU: 74.58W)
