=== Energy Consumption Metrics ===

Total Duration: 33206.54 seconds
Average CPU Power: 0.70 Watts
Average RAM Power: 4.16 Watts
Average GPU Power: 40.51 Watts
Total Energy Consumption: 1.5066 Mega Joules

=== Detailed Measurements ===
Round global, start: 23.35W (CPU: 4.11W, RAM: 1.97W, GPU: 17.27W)
Round 9, cluster_generation_start: 23.95W (CPU: 0.03W, RAM: 4.04W, GPU: 19.88W)
Round 9, cluster_generation_complete: 23.92W (CPU: 0.00W, RAM: 4.04W, GPU: 19.88W)
Round 9, node_1_training_start: 23.92W (CPU: 0.00W, RAM: 4.04W, GPU: 19.88W)
Round 9, node_1_training_complete: 79.18W (CPU: 2.01W, RAM: 4.06W, GPU: 73.11W)
Round 9, node_1_smpc_start: 92.17W (CPU: 15.00W, RAM: 4.06W, GPU: 73.11W)
Round 9, node_1_smpc_complete: 24.04W (CPU: 0.09W, RAM: 4.07W, GPU: 19.88W)
Round 9, node_2_training_start: 23.44W (CPU: 0.03W, RAM: 4.07W, GPU: 19.34W)
Round 9, node_2_training_complete: 80.74W (CPU: 1.92W, RAM: 4.06W, GPU: 74.76W)
Round 9, node_2_smpc_start: 78.82W (CPU: 0.00W, RAM: 4.06W, GPU: 74.76W)
Round 9, node_2_smpc_complete: 24.07W (CPU: 0.09W, RAM: 4.07W, GPU: 19.91W)
Round 9, node_3_training_start: 23.82W (CPU: 0.00W, RAM: 4.07W, GPU: 19.75W)
Round 9, node_3_training_complete: 76.55W (CPU: 1.92W, RAM: 4.07W, GPU: 70.56W)
Round 9, node_3_smpc_start: 74.63W (CPU: 0.00W, RAM: 4.07W, GPU: 70.56W)
Round 9, node_3_smpc_complete: 23.71W (CPU: 0.09W, RAM: 4.08W, GPU: 19.54W)
Round 9, aggregation_start: 23.16W (CPU: 0.00W, RAM: 4.08W, GPU: 19.08W)
Round 9, aggregation_complete: 26.32W (CPU: 1.38W, RAM: 4.08W, GPU: 20.86W)
Round 10, cluster_generation_start: 23.65W (CPU: 0.03W, RAM: 4.09W, GPU: 19.53W)
Round 10, cluster_generation_complete: 23.62W (CPU: 0.00W, RAM: 4.09W, GPU: 19.53W)
Round 10, node_1_training_start: 23.62W (CPU: 0.00W, RAM: 4.09W, GPU: 19.53W)
Round 10, node_1_training_complete: 88.03W (CPU: 2.01W, RAM: 4.11W, GPU: 81.92W)
Round 10, node_1_smpc_start: 86.02W (CPU: 0.00W, RAM: 4.11W, GPU: 81.92W)
Round 10, node_1_smpc_complete: 23.98W (CPU: 0.09W, RAM: 4.11W, GPU: 19.78W)
Round 10, node_2_training_start: 23.85W (CPU: 0.00W, RAM: 4.11W, GPU: 19.74W)
Round 10, node_2_training_complete: 74.73W (CPU: 1.92W, RAM: 4.10W, GPU: 68.71W)
Round 10, node_2_smpc_start: 72.81W (CPU: 0.00W, RAM: 4.10W, GPU: 68.71W)
Round 10, node_2_smpc_complete: 23.60W (CPU: 0.09W, RAM: 4.10W, GPU: 19.41W)
Round 10, node_3_training_start: 23.98W (CPU: 0.00W, RAM: 4.10W, GPU: 19.88W)
Round 10, node_3_training_complete: 77.36W (CPU: 1.89W, RAM: 4.09W, GPU: 71.38W)
Round 10, node_3_smpc_start: 75.47W (CPU: 0.00W, RAM: 4.09W, GPU: 71.38W)
Round 10, node_3_smpc_complete: 24.18W (CPU: 0.09W, RAM: 4.10W, GPU: 19.98W)
Round 10, aggregation_start: 23.64W (CPU: 0.03W, RAM: 4.10W, GPU: 19.51W)
Round 10, aggregation_complete: 27.51W (CPU: 1.41W, RAM: 4.10W, GPU: 22.00W)
Round 11, cluster_generation_start: 23.72W (CPU: 0.03W, RAM: 4.10W, GPU: 19.59W)
Round 11, cluster_generation_complete: 23.69W (CPU: 0.00W, RAM: 4.10W, GPU: 19.59W)
Round 11, node_1_training_start: 23.69W (CPU: 0.00W, RAM: 4.10W, GPU: 19.59W)
Round 11, node_1_training_complete: 76.37W (CPU: 2.01W, RAM: 4.14W, GPU: 70.22W)
Round 11, node_1_smpc_start: 74.36W (CPU: 0.00W, RAM: 4.14W, GPU: 70.22W)
Round 11, node_1_smpc_complete: 24.18W (CPU: 0.09W, RAM: 4.13W, GPU: 19.97W)
Round 11, node_2_training_start: 23.62W (CPU: 0.00W, RAM: 4.13W, GPU: 19.49W)
Round 11, node_2_training_complete: 77.04W (CPU: 1.92W, RAM: 4.12W, GPU: 71.01W)
Round 11, node_2_smpc_start: 75.12W (CPU: 0.00W, RAM: 4.12W, GPU: 71.01W)
Round 11, node_2_smpc_complete: 24.05W (CPU: 0.09W, RAM: 4.11W, GPU: 19.85W)
Round 11, node_3_training_start: 23.85W (CPU: 0.00W, RAM: 4.11W, GPU: 19.74W)
Round 11, node_3_training_complete: 78.23W (CPU: 1.89W, RAM: 4.12W, GPU: 72.22W)
Round 11, node_3_smpc_start: 76.34W (CPU: 0.00W, RAM: 4.12W, GPU: 72.22W)
Round 11, node_3_smpc_complete: 24.03W (CPU: 0.09W, RAM: 4.13W, GPU: 19.81W)
Round 11, aggregation_start: 23.48W (CPU: 0.00W, RAM: 4.12W, GPU: 19.36W)
Round 11, aggregation_complete: 26.67W (CPU: 1.50W, RAM: 4.12W, GPU: 21.05W)
Round 12, cluster_generation_start: 24.85W (CPU: 0.03W, RAM: 4.12W, GPU: 20.70W)
Round 12, cluster_generation_complete: 24.82W (CPU: 0.00W, RAM: 4.12W, GPU: 20.70W)
Round 12, node_1_training_start: 24.82W (CPU: 0.00W, RAM: 4.12W, GPU: 20.70W)
Round 12, node_1_training_complete: 77.55W (CPU: 1.98W, RAM: 4.14W, GPU: 71.43W)
Round 12, node_1_smpc_start: 75.57W (CPU: 0.00W, RAM: 4.14W, GPU: 71.43W)
Round 12, node_1_smpc_complete: 23.34W (CPU: 0.09W, RAM: 4.13W, GPU: 19.11W)
Round 12, node_2_training_start: 23.60W (CPU: 0.00W, RAM: 4.13W, GPU: 19.47W)
Round 12, node_2_training_complete: 75.08W (CPU: 1.89W, RAM: 4.12W, GPU: 69.07W)
Round 12, node_2_smpc_start: 73.19W (CPU: 0.00W, RAM: 4.12W, GPU: 69.07W)
Round 12, node_2_smpc_complete: 23.51W (CPU: 0.09W, RAM: 4.11W, GPU: 19.32W)
Round 12, node_3_training_start: 23.30W (CPU: 0.00W, RAM: 4.11W, GPU: 19.19W)
Round 12, node_3_training_complete: 74.47W (CPU: 1.92W, RAM: 4.10W, GPU: 68.45W)
Round 12, node_3_smpc_start: 72.55W (CPU: 0.00W, RAM: 4.10W, GPU: 68.45W)
