=== Energy Consumption Metrics ===

Total Duration: 16536.28 seconds
Average CPU Power: 0.63 Watts
Average RAM Power: 1.68 Watts
Average GPU Power: 54.82 Watts
Total Energy Consumption: 0.9446 Mega Joules

=== Detailed Measurements ===
Round global, start: 22.42W (CPU: 4.05W, RAM: 0.42W, GPU: 17.94W)
Round 6, node_3_smpc_complete: 22.00W (CPU: 0.09W, RAM: 1.44W, GPU: 20.46W)
Round 6, aggregation_start: 21.91W (CPU: 0.00W, RAM: 1.44W, GPU: 20.47W)
Round 6, aggregation_complete: 26.05W (CPU: 1.50W, RAM: 1.44W, GPU: 23.11W)
Round 7, cluster_generation_start: 21.72W (CPU: 0.03W, RAM: 1.44W, GPU: 20.25W)
Round 7, cluster_generation_complete: 21.69W (CPU: 0.00W, RAM: 1.44W, GPU: 20.25W)
Round 7, node_1_training_start: 21.69W (CPU: 0.00W, RAM: 1.44W, GPU: 20.25W)
Round 7, node_1_training_complete: 120.54W (CPU: 1.95W, RAM: 1.49W, GPU: 117.09W)
Round 7, node_1_smpc_start: 118.59W (CPU: 0.00W, RAM: 1.49W, GPU: 117.09W)
Round 7, node_1_smpc_complete: 21.79W (CPU: 0.09W, RAM: 1.46W, GPU: 20.25W)
Round 7, node_2_training_start: 22.24W (CPU: 0.00W, RAM: 1.46W, GPU: 20.78W)
Round 7, node_2_training_complete: 113.60W (CPU: 1.95W, RAM: 1.50W, GPU: 110.14W)
Round 7, node_2_smpc_start: 111.65W (CPU: 0.00W, RAM: 1.50W, GPU: 110.14W)
Round 7, node_2_smpc_complete: 21.94W (CPU: 0.09W, RAM: 1.46W, GPU: 20.39W)
Round 7, node_3_training_start: 21.81W (CPU: 0.00W, RAM: 1.46W, GPU: 20.35W)
Round 7, node_3_training_complete: 121.95W (CPU: 1.95W, RAM: 1.52W, GPU: 118.49W)
Round 7, node_3_smpc_start: 120.00W (CPU: 0.00W, RAM: 1.52W, GPU: 118.49W)
Round 7, node_3_smpc_complete: 21.39W (CPU: 0.09W, RAM: 1.46W, GPU: 19.84W)
Round 7, aggregation_start: 21.31W (CPU: 0.00W, RAM: 1.46W, GPU: 19.85W)
Round 7, aggregation_complete: 24.82W (CPU: 1.53W, RAM: 1.46W, GPU: 21.83W)
Round 8, cluster_generation_start: 22.69W (CPU: 0.03W, RAM: 1.46W, GPU: 21.20W)
Round 8, cluster_generation_complete: 22.66W (CPU: 0.00W, RAM: 1.46W, GPU: 21.20W)
Round 8, node_1_training_start: 22.66W (CPU: 0.00W, RAM: 1.46W, GPU: 21.20W)
Round 8, node_1_training_complete: 114.32W (CPU: 1.86W, RAM: 1.48W, GPU: 110.98W)
Round 8, node_1_smpc_start: 112.46W (CPU: 0.00W, RAM: 1.48W, GPU: 110.98W)
Round 8, node_1_smpc_complete: 21.96W (CPU: 0.09W, RAM: 1.47W, GPU: 20.40W)
Round 8, node_2_training_start: 21.61W (CPU: 0.00W, RAM: 1.47W, GPU: 20.14W)
Round 8, node_2_training_complete: 112.18W (CPU: 1.92W, RAM: 1.52W, GPU: 108.73W)
Round 8, node_2_smpc_start: 110.26W (CPU: 0.00W, RAM: 1.52W, GPU: 108.73W)
Round 8, node_2_smpc_complete: 21.82W (CPU: 0.09W, RAM: 1.50W, GPU: 20.24W)
Round 8, node_3_training_start: 21.83W (CPU: 0.00W, RAM: 1.49W, GPU: 20.34W)
Round 8, node_3_training_complete: 121.56W (CPU: 1.95W, RAM: 1.54W, GPU: 118.07W)
Round 8, node_3_smpc_start: 134.61W (CPU: 15.00W, RAM: 1.54W, GPU: 118.07W)
Round 8, node_3_smpc_complete: 22.17W (CPU: 0.09W, RAM: 1.48W, GPU: 20.60W)
Round 8, aggregation_start: 21.36W (CPU: 0.00W, RAM: 1.48W, GPU: 19.87W)
Round 8, aggregation_complete: 28.10W (CPU: 1.50W, RAM: 1.48W, GPU: 25.12W)
Round 9, cluster_generation_start: 25.00W (CPU: 0.03W, RAM: 1.49W, GPU: 23.48W)
Round 9, cluster_generation_complete: 24.97W (CPU: 0.00W, RAM: 1.49W, GPU: 23.48W)
Round 9, node_1_training_start: 24.97W (CPU: 0.00W, RAM: 1.49W, GPU: 23.48W)
Round 9, node_1_training_complete: 113.85W (CPU: 1.83W, RAM: 1.50W, GPU: 110.52W)
Round 9, node_1_smpc_start: 112.02W (CPU: 0.00W, RAM: 1.50W, GPU: 110.52W)
Round 9, node_1_smpc_complete: 22.08W (CPU: 0.09W, RAM: 1.48W, GPU: 20.50W)
Round 9, node_2_training_start: 22.16W (CPU: 0.00W, RAM: 1.48W, GPU: 20.68W)
Round 9, node_2_training_complete: 115.08W (CPU: 1.83W, RAM: 1.54W, GPU: 111.71W)
Round 9, node_2_smpc_start: 113.25W (CPU: 0.00W, RAM: 1.54W, GPU: 111.71W)
Round 9, node_2_smpc_complete: 22.31W (CPU: 0.09W, RAM: 1.51W, GPU: 20.71W)
